"p4","p5","p6_1","p6_2","p6_3","p6_4","p6_5","p6_6","p26","p32","p34_1","p34_2","p34_3","p34_4","p36_1","p36_2","p36_3","p36_4","factor","year"
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,1,1,1,2,20997,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,1,1,1,1,13511,2019
2,3,2,2,1,1,2,2,45,NA,1,1,2,1,1,1,2,2,11663,2019
NA,NA,NA,NA,NA,NA,NA,NA,10,NA,2,2,2,1,2,2,2,2,31987,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,1,1,2,2,21320,2019
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,2,2,2,2,2,2,2,7996,2019
8,1,2,1,2,1,1,2,60,NA,1,1,1,1,1,1,1,1,15994,2019
6,4,2,2,2,1,1,2,60,NA,2,2,2,2,2,2,2,2,10879,2019
1,3,2,1,2,2,2,2,20,NA,2,1,1,1,1,1,1,1,24740,2019
2,4,2,2,1,1,2,2,15,NA,1,2,2,2,2,1,2,2,10879,2019
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,2,2,2,2,2,1,2,1,24993,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29229,2019
4,1,1,1,2,1,2,2,60,NA,1,2,2,1,1,1,1,1,13774,2019
8,3,1,1,1,2,2,2,30,NA,2,1,1,1,1,1,1,1,24614,2019
NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,2,2,1,2,1,2,1,24614,2019
1,2,2,1,2,2,2,2,30,NA,2,1,1,1,1,1,1,2,12306,2019
1,3,2,1,2,2,2,2,40,NA,2,2,2,1,2,1,1,2,11661,2019
NA,NA,NA,NA,NA,NA,NA,NA,60,NA,2,1,1,1,2,2,1,1,34840,2019
NA,NA,NA,NA,NA,NA,NA,NA,10,NA,1,2,2,1,2,1,2,2,14417,2019
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,1,2,1,1,1,1,1,14417,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12351,2019
NA,NA,NA,NA,NA,NA,NA,NA,60,NA,1,1,1,1,1,1,1,1,16465,2019
NA,NA,NA,NA,NA,NA,NA,NA,10,NA,2,2,2,2,1,1,2,2,7801,2019
2,1,2,1,2,2,2,2,30,NA,2,1,2,1,2,1,2,1,8317,2019
1,3,2,2,2,1,2,2,30,NA,1,2,2,1,1,1,1,1,30578,2019
2,3,2,1,2,1,2,2,10,NA,2,2,2,2,2,1,1,1,20522,2019
1,3,2,2,1,2,2,2,20,NA,2,2,2,2,1,2,1,2,39754,2019
2,4,2,2,1,1,2,2,60,NA,1,1,1,1,2,1,1,2,28582,2019
NA,NA,NA,NA,NA,NA,NA,NA,5,NA,2,1,1,1,1,1,1,1,18918,2019
NA,NA,NA,NA,NA,NA,NA,NA,5,NA,2,1,1,1,1,1,1,1,14191,2019
NA,NA,NA,NA,NA,NA,NA,NA,15,NA,1,2,2,1,1,1,1,1,6533,2019
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,2,2,1,1,1,1,1,16967,2019
3,4,2,2,2,2,1,2,60,NA,2,1,1,1,2,1,1,1,6595,2019
